hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
3,Google Ads,109,33,1.901669,16.35,30.275229357798167,0.057626333333333335
4,Google Ads,76,20,2.469618,23.0,26.31578947368421,0.1234809
5,Google Ads,101,21,1.299697,18.833333,20.792079207920793,0.06189033333333334
6,Google Ads,318,78,7.140268,72.916667,24.528301886792452,0.09154189743589744
7,Google Ads,869,187,13.160721,137.221021,21.518987341772153,0.0703781871657754
8,Google Ads,2009,432,31.226538,308.290173,21.50323544051767,0.07228365277777778
9,Google Ads,3216,746,53.686509,640.892257,23.196517412935325,0.07196582975871314
10,Google Ads,4120,1027,69.796097,765.850288,24.927184466019416,0.06796114605647517
11,Google Ads,4840,1200,85.30182,944.661882,24.793388429752067,0.07108485
12,Google Ads,5476,1447,97.693927,1132.307197,26.424397370343318,0.06751480787836904
13,Google Ads,5612,1467,101.628231,1139.322238,26.140413399857447,0.06927623108384458
14,Google Ads,5117,1360,93.320647,1081.182378,26.578073089701,0.06861812279411764
15,Google Ads,4953,1295,89.436177,993.470458,26.145770240258432,0.06906268494208494
16,Google Ads,4561,1226,84.473326,997.968229,26.88007016005262,0.0689015709624796
17,Google Ads,4175,1138,75.291008,901.893966,27.25748502994012,0.06616081546572936
18,Google Ads,3480,951,58.641389,773.244816,27.327586206896555,0.06166286961093585
19,Google Ads,2638,663,37.171133,512.313247,25.132676269901438,0.056065057315233785
20,Google Ads,1668,419,23.213851,377.799675,25.119904076738607,0.055402985680190926
21,Google Ads,968,228,12.416803,171.111828,23.553719008264462,0.05445966228070175
22,Google Ads,520,119,6.650237,76.095833,22.884615384615383,0.05588434453781512
23,Google Ads,307,67,3.681349,40.05,21.824104234527688,0.05494550746268657
0,Google Ads,1442,592,20.20837,208.603708,41.05409153952843,0.03413576013513513
1,Google Ads,835,333,12.554197,131.03326,39.880239520958085,0.037700291291291294
2,Google Ads,454,176,7.606106,61.163949,38.76651982378855,0.04321651136363636
3,Google Ads,243,103,6.078456,40.672224,42.38683127572017,0.059014135922330097
4,Google Ads,224,73,3.127722,29.266234,32.589285714285715,0.04284550684931507
5,Google Ads,199,81,2.384268,28.924543,40.7035175879397,0.029435407407407407
6,Google Ads,398,140,6.272016,46.494106,35.175879396984925,0.04480011428571429
7,Google Ads,1111,400,19.17718,173.911294,36.003600360036,0.04794295
8,Google Ads,3128,1098,51.833119,451.693973,35.10230179028133,0.04720684790528233
9,Google Ads,6270,2279,116.496023,910.804275,36.34768740031898,0.05111716673979815
10,Google Ads,9404,3403,170.061655,1432.825028,36.18672905146746,0.04997403908316192
11,Google Ads,11497,4328,221.035236,1866.620191,37.64460293989737,0.05107098798521257
12,Google Ads,13409,4893,244.037892,2049.492785,36.49041688418227,0.04987490128755365
